statenu,state,year,InitialCOVI,InitialRank,FinalCOVI,FinalRank,COVIDCOVI,COVIDRank,COVI2022_IRT,COVI2022_IRTrank
46,VA,2020,-0.505,12,-0.164,18,-0.1142995,20,,
46,VA,2022,-0.734,11,-0.838,11,,,-1.010,9
46,VA,2024,-0.68,14,,,,,,
47,WA,1996,0.907,46,0.418,32,,,,
47,WA,2000,0.816,47,0.186,34,,,,
47,WA,2004,0.403,34,0.155,28,,,,
47,WA,2008,0.292,28,0.377,33,,,,
47,WA,2012,-1.033,5,-1.396,2,,,,
47,WA,2016,-0.619,11,-0.915,4,,,,
47,WA,2020,-1.664,2,-2.513,2,-2.525641,2,,
47,WA,2022,-2.422,2,-2.468,1,,,-1.992,1
47,WA,2024,-2.43,2,,,,,,
48,WV,1996,0.907,47,0.564,39,,,,
48,WV,2000,0.816,48,0.046,31,,,,
48,WV,2004,0.227,28,-0.162,15,,,,
48,WV,2008,0.120,25,0.159,24,,,,
48,WV,2012,-0.150,20,-0.131,21,,,,
48,WV,2016,-0.317,16,-0.287,15,,,,
48,WV,2020,0.333,35,-0.307,17,-0.2773983,17,,
48,WV,2022,-0.205,19,-0.044,23,,,-0.198,20
48,WV,2024,0.04,23,,,,,,
49,WI,1996,-1.349,5,-1.362,4,,,,
49,WI,2000,-1.414,5,-1.038,5,,,,
49,WI,2004,-1.190,6,-0.934,5,,,,
49,WI,2008,-1.188,6,-0.893,8,,,,
49,WI,2012,-0.879,6,-0.771,7,,,,
49,WI,2016,-0.068,22,0.250,28,,,,
49,WI,2020,0.054,25,0.771,38,0.6393632,36,,
49,WI,2022,1.365,47,1.301,45,,,0.378,31
49,WI,2024,1.37,46,,,,,,
50,WY,1996,-1.761,2,-1.216,7,,,,
50,WY,2000,-1.776,2,-1.178,4,,,,
50,WY,2004,-1.509,4,-0.747,7,,,,
50,WY,2008,-1.375,4,-0.659,11,,,,
50,WY,2012,-0.834,7,-0.243,16,,,,
50,WY,2016,0.214,28,0.591,39,,,,
50,WY,2020,0.084,26,0.830,42,1.001868,45,,
50,WY,2022,1.211,44,1.209,42,,,0.118,26
50,WY,2024,1.20,41,,,,,,
