"","year","party","national_two_party_vote_share","state","two_party_vote_share"
"575",2000,"Republican",49.7403946002077,"Illinois",43.8199896841604
"576",2000,"Republican",49.7403946002077,"Indiana",58.0047825325819
"577",2000,"Republican",49.7403946002077,"Iowa",49.8372208124818
"578",2000,"Republican",49.7403946002077,"Kansas",60.9169074635281
"579",2000,"Republican",49.7403946002077,"Kentucky",57.7276152656766
"580",2000,"Republican",49.7403946002077,"Louisiana",53.9392459663472
"581",2000,"Republican",49.7403946002077,"Maine",47.2521584589996
"582",2000,"Republican",49.7403946002077,"Maryland",41.5677010575457
"583",2000,"Republican",49.7403946002077,"Massachusetts",35.2106562393662
"584",2000,"Republican",49.7403946002077,"Michigan",47.3653935182659
"585",2000,"Republican",49.7403946002077,"Minnesota",48.7135880241887
"586",2000,"Republican",49.7403946002077,"Mississippi",58.6054848392463
"587",2000,"Republican",49.7403946002077,"Missouri",51.7119486567507
"588",2000,"Republican",49.7403946002077,"Montana",63.6563619786697
"589",2000,"Republican",49.7403946002077,"Nebraska",65.179480862085
"590",2000,"Republican",49.7403946002077,"Nevada",51.8568384996724
"591",2000,"Republican",49.7403946002077,"New Hampshire",50.6678001952188
"592",2000,"Republican",49.7403946002077,"New Jersey",41.7885905832791
"593",2000,"Republican",49.7403946002077,"New Mexico",49.9680739706909
"594",2000,"Republican",49.7403946002077,"New York",36.4240084169893
"595",2000,"Republican",49.7403946002077,"North Carolina",56.463996981503
"596",2000,"Republican",49.7403946002077,"North Dakota",64.7273965706163
"597",2000,"Republican",49.7403946002077,"Ohio",51.8387222206661
"598",2000,"Republican",49.7403946002077,"Oklahoma",61.0806712221189
"599",2000,"Republican",49.7403946002077,"Oregon",49.7641080144694
"600",2000,"Republican",49.7403946002077,"Pennsylvania",47.8515212831969
"601",2000,"Republican",49.7403946002077,"Rhode Island",34.3508839324007
"602",2000,"Republican",49.7403946002077,"South Carolina",58.1621060676503
"603",2000,"Republican",49.7403946002077,"South Dakota",61.6147125723739
"604",2000,"Republican",49.7403946002077,"Tennessee",51.962866785179
"605",2000,"Republican",49.7403946002077,"Texas",60.9562701485629
"606",2000,"Republican",49.7403946002077,"Utah",71.7255054313241
"607",2000,"Republican",49.7403946002077,"Vermont",44.5596491032266
"608",2000,"Republican",49.7403946002077,"Virginia",54.1472363058333
"609",2000,"Republican",49.7403946002077,"Washington",47.0552289905946
"610",2000,"Republican",49.7403946002077,"West Virginia",53.2420740159374
"611",2000,"Republican",49.7403946002077,"Wisconsin",49.8849316968422
"612",2000,"Republican",49.7403946002077,"Wyoming",70.982305640317
"613",1996,"Democrat",54.7274749721913,"Alabama",46.2661288463111
"614",1996,"Democrat",54.7274749721913,"Alaska",39.5714974941662
"615",1996,"Democrat",54.7274749721913,"Arizona",51.2237711518543
"616",1996,"Democrat",54.7274749721913,"Arkansas",59.3528248647555
"617",1996,"Democrat",54.7274749721913,"California",57.2162652309689
"618",1996,"Democrat",54.7274749721913,"Colorado",49.2407923697726
"619",1996,"Democrat",54.7274749721913,"Connecticut",60.3635068823127
"620",1996,"Democrat",54.7274749721913,"Delaware",58.62365663257
"621",1996,"Democrat",54.7274749721913,"District Of Columbia",90.1235482088642
"622",1996,"Democrat",54.7274749721913,"Florida",53.1549611951064
"623",1996,"Democrat",54.7274749721913,"Georgia",49.3677308014458
"624",1996,"Democrat",54.7274749721913,"Hawaii",64.2761518082488
"625",1996,"Democrat",54.7274749721913,"Idaho",39.2009724242841
"626",1996,"Democrat",54.7274749721913,"Illinois",59.6050921854578
"627",1996,"Democrat",54.7274749721913,"Indiana",46.8515936449543
"628",1996,"Democrat",54.7274749721913,"Iowa",55.7333889237327
"629",1996,"Democrat",54.7274749721913,"Kansas",39.9276344520159
"630",1996,"Democrat",54.7274749721913,"Kentucky",50.5290511843428
"631",1996,"Democrat",54.7274749721913,"Louisiana",56.5608382715921
"632",1996,"Democrat",54.7274749721913,"Maine",62.6621204168553
"633",1996,"Democrat",54.7274749721913,"Maryland",58.6384234862724
"634",1996,"Democrat",54.7274749721913,"Massachusetts",68.6378254054151
"635",1996,"Democrat",54.7274749721913,"Michigan",57.3244133666968
"636",1996,"Democrat",54.7274749721913,"Minnesota",59.3806892713758
"637",1996,"Democrat",54.7274749721913,"Mississippi",47.2527762454129
"638",1996,"Democrat",54.7274749721913,"Missouri",53.5470374764282
"639",1996,"Democrat",54.7274749721913,"Montana",48.3125895492758
"640",1996,"Democrat",54.7274749721913,"Nebraska",39.445177499217
"641",1996,"Democrat",54.7274749721913,"Nevada",50.586531355247
"642",1996,"Democrat",54.7274749721913,"New Hampshire",55.6116317106892
"643",1996,"Democrat",54.7274749721913,"New Jersey",59.9667932033127
"644",1996,"Democrat",54.7274749721913,"New Mexico",54.0241305610316
"645",1996,"Democrat",54.7274749721913,"New York",67.7320293812358
"646",1996,"Democrat",54.7274749721913,"North Carolina",47.4700133302654
"647",1996,"Democrat",54.7274749721913,"North Dakota",46.0886809941584
"648",1996,"Democrat",54.7274749721913,"Ohio",53.5969491817205
"649",1996,"Democrat",54.7274749721913,"Oklahoma",45.5993908932942
"650",1996,"Democrat",54.7274749721913,"Oregon",54.6931157196582
"651",1996,"Democrat",54.7274749721913,"Pennsylvania",55.1612053608325
"652",1996,"Democrat",54.7274749721913,"Rhode Island",69.0042133874984
"653",1996,"Democrat",54.7274749721913,"South Carolina",46.8880240780145
"654",1996,"Democrat",54.7274749721913,"South Dakota",48.0664146048655
"655",1996,"Democrat",54.7274749721913,"Tennessee",51.2866423418606
"656",1996,"Democrat",54.7274749721913,"Texas",47.3393766178777
"657",1996,"Democrat",54.7274749721913,"Utah",37.9805121807439
"658",1996,"Democrat",54.7274749721913,"Vermont",63.182830384062
"659",1996,"Democrat",54.7274749721913,"Virginia",48.9394054929331
"660",1996,"Democrat",54.7274749721913,"Washington",57.1946528447813
"661",1996,"Democrat",54.7274749721913,"West Virginia",58.3546651761079
"662",1996,"Democrat",54.7274749721913,"Wisconsin",55.9191966614502
"663",1996,"Democrat",54.7274749721913,"Wyoming",42.512082565104
"664",1996,"Republican",45.2725250278087,"Alabama",53.7338711536889
"665",1996,"Republican",45.2725250278087,"Alaska",60.4285025058338
"666",1996,"Republican",45.2725250278087,"Arizona",48.7762288481457
"667",1996,"Republican",45.2725250278087,"Arkansas",40.6471751352445
"668",1996,"Republican",45.2725250278087,"California",42.7837347690311
"669",1996,"Republican",45.2725250278087,"Colorado",50.7592076302274
"670",1996,"Republican",45.2725250278087,"Connecticut",39.6364931176873
"671",1996,"Republican",45.2725250278087,"Delaware",41.37634336743
"672",1996,"Republican",45.2725250278087,"District Of Columbia",9.87645179113574
"673",1996,"Republican",45.2725250278087,"Florida",46.8450388048936
"674",1996,"Republican",45.2725250278087,"Georgia",50.6322691985542
"675",1996,"Republican",45.2725250278087,"Hawaii",35.7238481917512
"676",1996,"Republican",45.2725250278087,"Idaho",60.7990275757159
"677",1996,"Republican",45.2725250278087,"Illinois",40.3949078145422
"678",1996,"Republican",45.2725250278087,"Indiana",53.1484063550457
"679",1996,"Republican",45.2725250278087,"Iowa",44.2666110762673
"680",1996,"Republican",45.2725250278087,"Kansas",60.0723655479841
"681",1996,"Republican",45.2725250278087,"Kentucky",49.4709488156572
"682",1996,"Republican",45.2725250278087,"Louisiana",43.4391617284079
"683",1996,"Republican",45.2725250278087,"Maine",37.3378795831447
"684",1996,"Republican",45.2725250278087,"Maryland",41.3615765137276
"685",1996,"Republican",45.2725250278087,"Massachusetts",31.3621745945849
"686",1996,"Republican",45.2725250278087,"Michigan",42.6755866333032
"687",1996,"Republican",45.2725250278087,"Minnesota",40.6193107286242
"688",1996,"Republican",45.2725250278087,"Mississippi",52.7472237545871
"689",1996,"Republican",45.2725250278087,"Missouri",46.4529625235718
"690",1996,"Republican",45.2725250278087,"Montana",51.6874104507242
"691",1996,"Republican",45.2725250278087,"Nebraska",60.554822500783
"692",1996,"Republican",45.2725250278087,"Nevada",49.413468644753
"693",1996,"Republican",45.2725250278087,"New Hampshire",44.3883682893108
"694",1996,"Republican",45.2725250278087,"New Jersey",40.0332067966873
"695",1996,"Republican",45.2725250278087,"New Mexico",45.9758694389684
"696",1996,"Republican",45.2725250278087,"New York",32.2679706187642
"697",1996,"Republican",45.2725250278087,"North Carolina",52.5299866697346
"698",1996,"Republican",45.2725250278087,"North Dakota",53.9113190058416
"699",1996,"Republican",45.2725250278087,"Ohio",46.4030508182795
"700",1996,"Republican",45.2725250278087,"Oklahoma",54.4006091067058
"701",1996,"Republican",45.2725250278087,"Oregon",45.3068842803418
"702",1996,"Republican",45.2725250278087,"Pennsylvania",44.8387946391675
